"CELL_LINE_NAME","DRUG_ID","DRUG_NAME","LN_IC50"
"RT4",1001,"AICA Ribonucleotide",8.956245
"ABC1",1001,"AICA Ribonucleotide",9.392131
"MKN1",1001,"AICA Ribonucleotide",8.546833
"KYSE140",1001,"AICA Ribonucleotide",7.426346
"MKN7",1001,"AICA Ribonucleotide",7.993095
"SAS",1001,"AICA Ribonucleotide",6.314021
"CFPAC1",1001,"AICA Ribonucleotide",7.126589
"OE33",1001,"AICA Ribonucleotide",7.305846
"TE4",1001,"AICA Ribonucleotide",7.792806
"FU97",1001,"AICA Ribonucleotide",9.279678
"NCIH1975",1001,"AICA Ribonucleotide",6.715085
"SW156",1001,"AICA Ribonucleotide",8.211064
"BICR78",1001,"AICA Ribonucleotide",6.879576
"EPLC272H",1001,"AICA Ribonucleotide",6.487575
"OAW42",1001,"AICA Ribonucleotide",9.515406
"HCC38",1001,"AICA Ribonucleotide",9.191359
"CAL51",1001,"AICA Ribonucleotide",8.100944
"NCIH1650",1001,"AICA Ribonucleotide",7.497168
"LS123",1001,"AICA Ribonucleotide",7.90658
"NCIH441",1001,"AICA Ribonucleotide",8.003882
"NCIH1869",1001,"AICA Ribonucleotide",6.900269
"HCC1937",1001,"AICA Ribonucleotide",7.833094
"TGBC1TKB",1001,"AICA Ribonucleotide",6.735703
"LCLC97TM1",1001,"AICA Ribonucleotide",6.983689
"YAPC",1001,"AICA Ribonucleotide",9.324653
"HCT116",1001,"AICA Ribonucleotide",7.531733
"JHH7",1001,"AICA Ribonucleotide",9.356701
"NCIH2170",1001,"AICA Ribonucleotide",7.82539
"HEC1",1001,"AICA Ribonucleotide",8.328446
"CAL27",1001,"AICA Ribonucleotide",7.024202
"KNS62",1001,"AICA Ribonucleotide",7.403719
"OE21",1001,"AICA Ribonucleotide",6.202577
"SW1710",1001,"AICA Ribonucleotide",9.335251
"A431",1001,"AICA Ribonucleotide",7.317569
"SKGT4",1001,"AICA Ribonucleotide",8.282813
"KMRC1",1001,"AICA Ribonucleotide",9.628076
"A704",1001,"AICA Ribonucleotide",7.815406
"HDQP1",1001,"AICA Ribonucleotide",7.22473
"647V",1001,"AICA Ribonucleotide",7.547167
"NCIH2444",1001,"AICA Ribonucleotide",8.463714
"KYSE70",1001,"AICA Ribonucleotide",7.97093
"SW954",1001,"AICA Ribonucleotide",5.178709
"JIMT1",1001,"AICA Ribonucleotide",6.628718
"HCC827",1001,"AICA Ribonucleotide",7.668887
"CORL23",1001,"AICA Ribonucleotide",6.671798
"CAL851",1001,"AICA Ribonucleotide",9.009808
"OSC20",1001,"AICA Ribonucleotide",7.057236
"PECAPJ15",1001,"AICA Ribonucleotide",6.882252
"HSC4",1001,"AICA Ribonucleotide",7.128872
"OAW28",1001,"AICA Ribonucleotide",10.706157
"A549",1001,"AICA Ribonucleotide",8.39375
"VMRCRCW",1001,"AICA Ribonucleotide",9.661658
"KP3",1001,"AICA Ribonucleotide",8.584265
"KLE",1001,"AICA Ribonucleotide",11.200778
"JHOS4",1001,"AICA Ribonucleotide",8.928988
"HCC2157",1001,"AICA Ribonucleotide",5.499795
"NCIH1781",1001,"AICA Ribonucleotide",8.84229
"HCC78",1001,"AICA Ribonucleotide",7.32125
"HCC1143",1001,"AICA Ribonucleotide",7.423474
"FUOV1",1001,"AICA Ribonucleotide",9.817205
"PEO1",1001,"AICA Ribonucleotide",8.012565
"NCIH747",1001,"AICA Ribonucleotide",7.604419
"TE10",1001,"AICA Ribonucleotide",7.298339
"NCIH1651",1001,"AICA Ribonucleotide",8.823505
"PANC0403",1001,"AICA Ribonucleotide",7.60984
"HCC70",1001,"AICA Ribonucleotide",6.83167
"MS751",1001,"AICA Ribonucleotide",6.808939
"RMGI",1001,"AICA Ribonucleotide",10.118163
"KYSE450",1001,"AICA Ribonucleotide",7.030236
"PATU8902",1001,"AICA Ribonucleotide",7.120662
"KMRC20",1001,"AICA Ribonucleotide",8.447261
"PANC0327",1001,"AICA Ribonucleotide",8.050161
"NCIH1623",1001,"AICA Ribonucleotide",9.128327
"SNU449",1001,"AICA Ribonucleotide",8.21485
"KU1919",1001,"AICA Ribonucleotide",7.603613
"JHH4",1001,"AICA Ribonucleotide",8.236308
"NCIH1734",1001,"AICA Ribonucleotide",7.813938
"SW1990",1001,"AICA Ribonucleotide",7.424332
"HPAC",1001,"AICA Ribonucleotide",9.398541
"SCC25",1001,"AICA Ribonucleotide",7.294403
"OSC19",1001,"AICA Ribonucleotide",9.710131
"KYSE510",1001,"AICA Ribonucleotide",6.297509
"HCC1187",1001,"AICA Ribonucleotide",7.085082
"HT3",1001,"AICA Ribonucleotide",6.188328
"KYSE520",1001,"AICA Ribonucleotide",6.140743
"JHOS2",1001,"AICA Ribonucleotide",8.434196
"SCC4",1001,"AICA Ribonucleotide",7.155431
"SAT",1001,"AICA Ribonucleotide",6.720824
"EFO27",1001,"AICA Ribonucleotide",7.64852
"MFE319",1001,"AICA Ribonucleotide",7.441876
"HTCC3",1001,"AICA Ribonucleotide",5.780805
"SUIT2",1001,"AICA Ribonucleotide",7.073891
"NCIH1944",1001,"AICA Ribonucleotide",9.346312
"HSC2",1001,"AICA Ribonucleotide",6.878049
"CAL33",1001,"AICA Ribonucleotide",6.950053
"HT1376",1001,"AICA Ribonucleotide",7.450747
"EKVX",1001,"AICA Ribonucleotide",9.07438
"BHY",1001,"AICA Ribonucleotide",6.184802
"SCC15",1001,"AICA Ribonucleotide",6.249479
"PC3",1001,"AICA Ribonucleotide",5.920128
"SISO",1001,"AICA Ribonucleotide",7.700251
"TE6",1001,"AICA Ribonucleotide",9.012906
"NCIH2342",1001,"AICA Ribonucleotide",8.06191
"HT1197",1001,"AICA Ribonucleotide",8.723913
"CAL12T",1001,"AICA Ribonucleotide",6.674521
"NCIH28",1001,"AICA Ribonucleotide",7.146954
"NCIH1437",1001,"AICA Ribonucleotide",6.880252
"NCIH596",1001,"AICA Ribonucleotide",8.351749
"CAL29",1001,"AICA Ribonucleotide",7.750161
"KYSE410",1001,"AICA Ribonucleotide",8.197202
"PANC1005",1001,"AICA Ribonucleotide",7.913963
"HCC1954",1001,"AICA Ribonucleotide",7.419215
"TE9",1001,"AICA Ribonucleotide",8.118565
"SNGM",1001,"AICA Ribonucleotide",8.495367
"DANG",1001,"AICA Ribonucleotide",7.121161
"UWB1289",1001,"AICA Ribonucleotide",8.958497
"HARA",1001,"AICA Ribonucleotide",6.15979
"HCC366",1001,"AICA Ribonucleotide",7.200749
"5637",1001,"AICA Ribonucleotide",8.011505
"OVISE",1001,"AICA Ribonucleotide",8.22547
"KURAMOCHI",1001,"AICA Ribonucleotide",9.202239
"769P",1001,"AICA Ribonucleotide",8.259149
"CAKI1",1001,"AICA Ribonucleotide",7.967728
"PANC0813",1001,"AICA Ribonucleotide",7.136182
"KON",1001,"AICA Ribonucleotide",7.536923
"LU65",1001,"AICA Ribonucleotide",9.459226
"NCIH1693",1001,"AICA Ribonucleotide",8.165044
"C4I",1001,"AICA Ribonucleotide",8.149714
"BFTC905",1001,"AICA Ribonucleotide",7.241308
"SKGT2",1001,"AICA Ribonucleotide",6.547741
"NCIH1666",1001,"AICA Ribonucleotide",7.758025
"ECGI10",1001,"AICA Ribonucleotide",8.046925
"NCIH1648",1001,"AICA Ribonucleotide",7.530746
