"","TCGA-02-0055","TCGA-04-1332"
"5_8S_rRNA",0,6.86
"5S_rRNA",0.11,0.38
"7SK",0.06,0.52
"A1BG",0.67,0.28
"A1BG-AS1",1.25,0.72
"A1CF",0.02,0.01
"A2M",9.93,8.11
"A2M-AS1",1.7,2.38
"A2ML1",0.12,2.35
"A2ML1-AS1",0,0
"A2ML1-AS2",0,1.14
"A2MP1",0.09,0.2
"A3GALT2",0.87,0.88
"A4GALT",4.73,5.07
"A4GNT",0.12,0.38
"AA06",0,0.17
"AAAS",4.64,5.2
"AACS",2.12,3.14
"AACSP1",0.09,0.16
"AADAC",0.13,2.28
"AADACL2",0,0.06
"AADACL2-AS1",0,0.17
"AADACL3",0,0.25
"AADACL4",0,0
"AADACP1",0.25,0.86
"AADAT",2.8,1.57
"AAGAB",5.75,4.62
"AAK1",2.89,3.8
"AAMDC",2.87,3.54
"AAMP",6.81,6.95
"AANAT",1.12,0.55
"AAR2",5.85,5.42
"AARD",0.68,1.54
"AARS1",5.54,5.49
"AARS1P1",0,0
"AARS2",3.7,4.45
"AARSD1",0.73,0.53
"AARSD1P1",1.03,0.34
"AASDH",3.45,2.13
"AASDHPPT",4.34,3.67
"AASS",3.58,2.2
"AATBC",0.29,1.8
"AATF",5.09,4.47
"AATK",2.27,1.99
"ABALON",0,0.69
"ABAT",2.95,1.82
"ABBA01000933.1",0,0
"ABBA01000935.2",0.24,0
"ABBA01006766.1",0,0
"ABBA01045074.1",0,0
"ABBA01045074.2",0,0
"ABCA1",4.71,3.3
"ABCA10",0.35,1.47
"ABCA11P",0.95,0.9
"ABCA12",0.12,0.12
"ABCA13",2.55,0.27
"ABCA17P",1.15,0.64
"ABCA2",4.76,4.01
"ABCA3",3.99,4.87
"ABCA4",1.27,1.43
"ABCA5",1.82,1.16
"ABCA6",0.81,1.58
"ABCA7",2.21,1.96
"ABCA8",1.81,2.6
"ABCA9",0.78,1.93
"ABCA9-AS1",0,0.11
"ABCB1",2.65,1.61
"ABCB10",3.93,3.13
"ABCB10P1",0,0
"ABCB10P3",0,0.05
"ABCB10P4",0,0
"ABCB11",0.06,0.03
"ABCB4",1.47,0.44
"ABCB5",0.2,0.07
"ABCB6",0.32,0.79
"ABCB7",4.64,3.02
"ABCB8",3.84,4.23
"ABCB9",1.34,4.06
"ABCC1",4.28,5.04
"ABCC10",3,3.99
"ABCC11",0.12,0.19
"ABCC12",0.11,0
"ABCC13",0,0.01
"ABCC2",0.9,0.24
"ABCC3",5.32,2.43
"ABCC4",3.25,4.41
"ABCC5",3.49,3.31
"ABCC5-AS1",0,0.87
"ABCC6",0.84,0.91
"ABCC6P1",0.18,0.21
"ABCC6P2",1,0.52
"ABCC8",0.33,0.09
"ABCC9",1.43,2.09
"ABCD1",4.64,5.72
"ABCD1P2",0,0.07
"ABCD1P3",0.17,0
"ABCD1P4",0.17,0.17
"ABCD1P5",0,0
"ABCD2",1.08,0.23
"ABCD3",4.27,3.13
"ABCD4",3.64,3.78
"ABCE1",5.6,3.14
"ABCF1",6.21,5.91
"ABCF2",4.49,3.22
"ABCF2-H2BE1",0,0
"ABCF2P1",0.36,0.17
"ABCF2P2",0,0
"ABCF3",5.01,5.32
"ABCG1",4.06,3.15
"ABCG2",1.92,1.67
"ABCG4",0.59,1.56
"ABCG5",0.14,0.52
"ABCG8",0.02,0.21
"ABHD1",0.63,0.92
"ABHD10",4.42,4.24
"ABHD11",4.73,6.41
"ABHD11-AS1",2.16,1.4
"ABHD12",7.14,6.01
"ABHD12B",1.23,0.5
"ABHD13",3.9,2.55
"ABHD14A",2.57,3.63
"ABHD14A-ACY1",0.02,0.02
"ABHD14B",5.38,5.39
"ABHD15",4,3.16
"ABHD15-AS1",0,0
"ABHD16A",0.73,1.64
"ABHD16B",0,0
"ABHD17A",4.96,5.37
"ABHD17AP1",1.82,2.25
"ABHD17AP3",0.74,0.97
"ABHD17AP4",0.42,0.75
"ABHD17AP5",0.8,1.47
"ABHD17AP6",0.79,0.61
"ABHD17AP7",0,0.18
"ABHD17AP8",0,0.49
"ABHD17AP9",0,0
"ABHD17B",4.34,3.42
"ABHD17C",4.06,4.35
"ABHD18",2.72,1.86
"ABHD2",5.57,3.8
"ABHD3",3.75,2.6
"ABHD4",5.49,7.44
"ABHD5",4.51,3
"ABHD6",4.37,3.1
"ABHD8",4.92,5.34
"ABI1",5.69,5.3
"ABI1P1",0,0
"ABI2",3.25,3.09
"ABI3",5.01,3.69
"ABI3BP",3.34,4.84
"ABITRAM",4.54,3.32
"ABITRAMP1",0.19,0
"ABL1",5.64,6.18
"ABL2",4.52,3.03
"ABLIM1",3.32,6.35
"ABLIM2",1.94,2.13
"ABLIM3",4.26,2.63
"ABO",0.29,2.96
"ABR",4.88,4.73
"ABRA",0.32,0.29
"ABRACL",6.02,5.44
"ABRAXAS1",2.16,1.33
"ABRAXAS2",4.41,3.98
"ABT1",5.48,4.84
"ABT1P1",0,0
"ABTB1",3.96,4.64
"ABTB2",3.51,3.38
"AC000032.1",0.39,0
"AC000035.1",0,0
"AC000036.1",0,0.34
"AC000041.1",0,0
"AC000050.2",0.4,2.56
"AC000058.1",0,0
"AC000061.1",0,1.8
"AC000065.1",0,0.28
"AC000065.2",0,0.31
"AC000067.1",1.22,0.35
"AC000068.1",1.19,0.77
"AC000068.2",0.41,0.59
"AC000068.3",0,0
"AC000072.1",0.31,0.22
"AC000077.1",0,0
"AC000078.1",0.92,1.55
"AC000081.1",0.33,0
"AC000081.2",0,0
"AC000082.1",0.37,1.39
"AC000085.1",0.69,0.99
"AC000089.1",3.29,3.74
"AC000093.1",0.26,0.24
"AC000095.1",0,0
"AC000095.2",0,0
"AC000111.1",0,0.8
"AC000111.2",0,1.77
"AC000113.1",0.33,0
"AC000120.1",0.19,0.48
"AC000120.2",0,0
"AC000120.3",0,0
"AC000123.1",1.75,0.81
"AC000123.2",1.32,0.42
"AC000123.3",0.9,1.13
"AC000124.1",0,0
"AC000362.1",0,0
"AC000367.1",0,0
"AC000372.1",0,0
"AC000374.1",0,0.12
"AC000403.1",0.6,0.92
"AC001226.1",0,0.66
"AC001226.2",0.05,0.25
"AC002044.1",1.55,2.79
"AC002044.2",0.4,2.35
"AC002044.3",0.19,1
"AC002056.1",1.68,0.6
"AC002056.2",0,0.86
"AC002057.1",0,0
"AC002057.2",0,0
"AC002059.1",1.9,0.57
"AC002059.2",0,0
"AC002059.3",0.55,0.51
"AC002064.1",0.14,0.15
"AC002064.2",0.34,0.34
"AC002064.3",0.29,0
"AC002066.1",0.28,0.08
"AC002069.1",0,0
"AC002069.2",0.03,0.05
"AC002069.3",0,0
"AC002069.4",0,0
"AC002070.1",0.5,1
"AC002072.1",0,0.1
"AC002074.1",2.36,0.58
"AC002074.2",0.15,0.16
"AC002075.1",0,0.55
"AC002075.2",2.76,3.92
"AC002076.1",0,0
"AC002090.1",0,0
"AC002091.1",1.68,1.97
"AC002091.2",1.63,2.22
"AC002094.1",0,0
"AC002094.2",0,0
"AC002094.3",0,0
"AC002094.4",0.58,1.33
"AC002094.5",1.22,1.85
"AC002101.1",0,0
"AC002115.1",0.18,0
"AC002116.1",0,0
"AC002116.2",0.78,1.06
"AC002127.1",0,0
"AC002128.1",1.04,2.69
"AC002128.2",0,2.68
"AC002306.1",0,1.06
"AC002310.1",1.96,1.84
"AC002310.2",0,0.05
"AC002310.3",0.28,0.52
"AC002310.4",0,0
"AC002310.5",1.58,2.91
"AC002331.1",0,0
"AC002347.1",0.36,1
"AC002347.2",0,0.54
"AC002350.1",0,0
"AC002350.2",0.67,0.55
"AC002351.1",0.21,0.04
"AC002368.1",0,0.26
"AC002375.1",0,0
"AC002377.1",0.2,0.37
"AC002378.1",0.19,0.05
"AC002381.1",0.35,0
"AC002383.1",0.05,0.11
"AC002386.1",0,0
"AC002398.1",1.81,1.67
"AC002398.2",0,0
"AC002401.1",0,0.22
"AC002401.2",0,0.45
"AC002401.3",0.43,0.23
"AC002401.4",1.63,0.74
"AC002407.1",0.03,0
"AC002428.1",0.14,0
"AC002428.2",0,0
"AC002429.1",0,1.04
"AC002451.1",0.14,0.42
"AC002451.2",0,0.05
"AC002456.1",1.44,0.19
"AC002456.2",0,0
"AC002458.1",0.05,0.15
"AC002460.1",0,0
"AC002460.2",0.05,0.08
"AC002463.1",0.1,0.04
"AC002464.1",0.14,0
"AC002465.1",0,0
"AC002467.1",1.88,0.61
"AC002470.1",2.73,2.05
"AC002470.2",0.03,0.03
"AC002472.1",0,0
"AC002472.2",0,0
"AC002472.3",0,0.17
"AC002472.4",0,0
"AC002480.1",0.21,0.4
"AC002480.2",0.44,0.05
"AC002486.1",0,0
"AC002486.2",0,0.18
"AC002487.1",0,0
"AC002511.1",0,0.7
"AC002511.2",0,1.45
"AC002511.3",0,0
"AC002519.1",0.04,0.04
"AC002519.2",0.75,0
"AC002525.1",0.31,0.42
"AC002529.1",0,0
"AC002540.1",0,0.08
"AC002542.1",0,1.14
"AC002542.2",0,0
"AC002542.3",0,0
"AC002542.4",0,0
"AC002542.5",0,0
"AC002542.6",0.19,1.69
"AC002543.1",0.11,0.52
"AC002545.1",0.51,0
"AC002546.1",0.18,0
"AC002550.1",0,0.08
"AC002550.2",1.24,2.87
"AC002551.1",0,1.5
"AC002553.1",1.28,2.04
"AC002553.2",0.94,2.88
"AC002558.1",0.47,1.69
"AC002558.2",0,0.3
"AC002558.3",0,1.06
"AC002563.1",0,0
"AC002984.1",0,0.9
"AC002985.1",0,0
"AC002996.1",0,0
"AC003001.1",0.07,0
"AC003001.2",0,0
"AC003002.1",0,0
"AC003002.2",0.67,0.2
"AC003002.3",0.25,0.17
"AC003005.1",0,0
"AC003005.2",0.16,1.12
"AC003006.1",0,0
"AC003009.1",0,0.15
"AC003035.1",0.64,0.19
"AC003035.2",0.91,3.42
"AC003043.1",0,0
"AC003043.2",0.03,0
"AC003044.1",0.07,0
"AC003070.1",0.22,0.59
"AC003070.2",0,0
"AC003071.1",0,0
"AC003072.1",2.88,3.69
"AC003072.2",0.3,0
"AC003077.1",0.1,0.68
"AC003080.1",0,1.01
"AC003084.1",0,0
